category,image_count
abbey,50
airplane_cabin,50
airport_terminal,50
alley,50
amphitheater,50
amusement_arcade,50
amusement_park,50
anechoic_chamber,50
apartment_building_outdoor,50
apse_indoor,50
aquarium,50
aqueduct,50
arch,50
archive,50
arrival_gate_outdoor,50
art_gallery,50
art_school,50
art_studio,50
assembly_line,50
athletic_field_outdoor,50
atrium_public,50
attic,50
auditorium,50
auto_factory,50
badlands,50
badminton_court_indoor,50
baggage_claim,50
bakery_shop,50
balcony_exterior,50
balcony_interior,50
ball_pit,50
ballroom,50
bamboo_forest,50
banquet_hall,50
bar,50
barn,50
barndoor,50
baseball_field,50
basement,50
basilica,50
basketball_court_outdoor,50
bathroom,50
batters_box,50
bayou,50
bazaar_indoor,50
bazaar_outdoor,50
beach,50
beauty_salon,50
bedroom,50
berth,50
biology_laboratory,50
bistro_indoor,50
boardwalk,50
boat_deck,50
boathouse,50
bookstore,50
booth_indoor,50
botanical_garden,50
bow_window_indoor,50
bow_window_outdoor,50
bowling_alley,50
boxing_ring,50
brewery_indoor,50
bridge,50
building_facade,50
bullring,50
burial_chamber,50
bus_interior,50
butchers_shop,50
butte,50
cabin_outdoor,50
cafeteria,50
campsite,50
campus,50
canal_natural,50
canal_urban,50
candy_store,50
canyon,50
car_interior_backseat,50
car_interior_frontseat,50
carrousel,50
casino_indoor,50
castle,50
catacomb,50
cathedral_indoor,50
cathedral_outdoor,50
cavern_indoor,50
cemetery,50
chalet,50
cheese_factory,50
chemistry_lab,50
chicken_coop_indoor,50
chicken_coop_outdoor,50
childs_room,50
church_indoor,50
church_outdoor,50
classroom,50
clean_room,50
cliff,50
cloister_indoor,50
closet,50
clothing_store,50
coast,50
cockpit,50
coffee_shop,50
computer_room,50
conference_center,50
conference_room,50
construction_site,50
control_room,50
control_tower_outdoor,50
corn_field,50
corral,50
corridor,50
cottage_garden,50
courthouse,50
courtroom,50
courtyard,50
covered_bridge_exterior,50
creek,50
crevasse,50
crosswalk,50
cubicle_office,50
dam,50
delicatessen,50
dentists_office,50
desert_sand,50
desert_vegetation,50
diner_indoor,50
diner_outdoor,50
dinette_home,50
dinette_vehicle,50
dining_car,50
dining_room,50
discotheque,50
dock,50
doorway_outdoor,50
dorm_room,50
driveway,50
driving_range_outdoor,50
drugstore,50
electrical_substation,50
elevator_door,50
elevator_interior,50
elevator_shaft,50
engine_room,50
escalator_indoor,50
excavation,50
factory_indoor,50
fairway,50
fastfood_restaurant,50
field_cultivated,50
field_wild,50
fire_escape,50
fire_station,50
firing_range_indoor,50
fishpond,50
florist_shop_indoor,50
food_court,50
forest_broadleaf,50
forest_needleleaf,50
forest_path,50
forest_road,50
formal_garden,50
fountain,50
galley,50
game_room,50
garage_indoor,50
garbage_dump,50
gas_station,50
gazebo_exterior,50
general_store_indoor,50
general_store_outdoor,50
gift_shop,50
golf_course,50
greenhouse_indoor,50
greenhouse_outdoor,50
gymnasium_indoor,50
hangar_indoor,50
hangar_outdoor,50
harbor,50
hayfield,50
heliport,50
herb_garden,50
highway,50
hill,50
home_office,50
hospital,50
hospital_room,50
hot_spring,50
hot_tub_outdoor,50
hotel_outdoor,50
hotel_room,50
house,50
hunting_lodge_outdoor,50
ice_cream_parlor,50
ice_floe,50
ice_shelf,50
ice_skating_rink_indoor,50
ice_skating_rink_outdoor,50
iceberg,50
igloo,50
industrial_area,50
inn_outdoor,50
islet,50
